vmf/direction_dim_14_hist,vmf/direction_dim_0_hist,vmf/mean_direction,vmf/direction_dim_6_hist,losses/int_value_loss,vmf/direction_dim_13_hist,charts/max_traj_len,returns/int_advantages,vmf/direction_dim_12_hist,charts/episode_return,vmf/direction_dim_11_hist,vmf/direction_dim_1_hist,charts/game_score,rewards/raw_game_rewards_min,_timestamp,rewards/rewards_mean,charts/SPS,charts/learning_rate,rewards/num_envs_with_pos_rews,charts/vmf_kappa,charts/traj_len,rewards/intrinsic_rewards_mean,rewards/raw_game_rewards_mean,charts/min_traj_len,charts/iterations,vmf/direction_dim_5_hist,returns/values_int,returns/advantages,charts/time_per_it,rewards/raw_game_rewards_max,returns/ext_advantages,losses/entropy,losses/ext_value_loss,_step,charts/returns_hist,vmf/direction_dim_3_hist,rewards/rewards_max,losses/approx_kl,vmf/direction_dim_15_hist,charts/min_game_score,losses/policy_loss,rewards/rewards_min,charts/success_rate,rewards/rewards_for_plot,vmf/direction_dim_9_hist,vmf/direction_dim_10_hist,losses/old_approx_kl,rewards/intrinsic_rewards_max,rewards/intrinsic_rewards_min,charts/e1_mu_angle,vmf/direction_dim_2_hist,losses/all_loss,_runtime,charts/max_game_score,losses/clipfrac,vmf/direction_dim_4_hist,vmf/direction_dim_7_hist,vmf/direction_dim_8_hist,returns/values_ext,returns/ret_ext,returns/ret_int
,,,,,,,,,1130.0,,,,,1733529140.5687373,,,,,23.789277970790863,,,,,,,,,,,,,,3734528.0,,,,,,,,,1.0,,,,,,,,,,4465.094586126,,,,,,,,
,,,,0.015157531015574932,,1306.0,-0.013098045252263546,,,,,870.0,0.0,1733529181.0429146,0.004012097604572773,842.0,0.0003,117.0,,854.84375,0.00893375463783741,0.078857421875,0.0,230.0,,0.6622616648674011,0.0019711360801011324,18.822065353393555,1.0,0.0021021170541644096,2.284402370452881,0.004735258407890797,3768320.0,,,0.05087786912918091,0.002954471856355667,,0.0,-0.006498910486698151,0.0,,0.078857421875,,,0.004193228203803301,0.04747695475816727,-0.04208507761359215,93.96835035593884,,-0.01939653977751732,4506.988745338,2120.0,0.1141357421875,,,,0.5637524127960205,0.565854549407959,0.6491636037826538
,,,,,,,,,690.0,,,,,1733529717.4442732,,,,,23.71457040309906,,,,,,,,,,,,,,4227584.0,,,,,,,,,1.0,,,,,,,,,,5039.858725081,,,,,,,,
,,,,,,,,,460.0,,,,,1733529722.3078442,,,,,23.71457040309906,,,,,,,,,,,,,,4232960.0,,,,,,,,,1.0,,,,,,,,,,5044.055570573,,,,,,,,
,,,,,,,,,670.0,,,,,1733529723.529844,,,,,23.71457040309906,,,,,,,,,,,,,,4234240.0,,,,,,,,,1.0,,,,,,,,,,5046.870541348,,,,,,,,
,,,,,,,,,730.0,,,,,1733529845.2152786,,,,,23.680638670921326,,,,,,,,,,,,,,4339456.0,,,,,,,,,1.0,,,,,,,,,,5168.430340354,,,,,,,,
,,,,,,,,,590.0,,,,,1733529947.9701562,,,,,23.680638670921326,,,,,,,,,,,,,,4427264.0,,,,,,,,,1.0,,,,,,,,,,5269.824963595,,,,,,,,
,,,,,,,,,560.0,,,,,1733530062.5156677,,,,,23.603340983390808,,,,,,,,,,,,,,4525440.0,,,,,,,,,1.0,,,,,,,,,,5386.300596599,,,,,,,,
,,,,,,,,,1070.0,,,,,1733530179.1812901,,,,,23.57203781604767,,,,,,,,,,,,,,4626048.0,,,,,,,,,1.0,,,,,,,,,,5503.189053686,,,,,,,,
,,,,,,,,,590.0,,,,,1733530298.617813,,,,,23.54731410741806,,,,,,,,,,,,,,4728704.0,,,,,,,,,1.0,,,,,,,,,,5622.764681199,,,,,,,,
