"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"8126464","722.6171875","722.6171875","722.6171875"
"8142848","735.21875","735.21875","735.21875"
"8159232","745.4375","745.4375","745.4375"
"8175616","746.4609375","746.4609375","746.4609375"
"8192000","748.203125","748.203125","748.203125"
"8208384","750.359375","750.359375","750.359375"
"8224768","743.109375","743.109375","743.109375"
"8241152","752.0078125","752.0078125","752.0078125"
"8257536","765.1640625","765.1640625","765.1640625"
"8273920","768.9140625","768.9140625","768.9140625"
"8290304","789.3671875","789.3671875","789.3671875"
"8306688","803.4375","803.4375","803.4375"
"8323072","802.59375","802.59375","802.59375"
"8339456","778.59375","778.59375","778.59375"
"8355840","782.5859375","782.5859375","782.5859375"
"8372224","782.46875","782.46875","782.46875"
"8388608","785.265625","785.265625","785.265625"
"8404992","776.8125","776.8125","776.8125"
"8421376","782.2109375","782.2109375","782.2109375"
"8437760","802.234375","802.234375","802.234375"
"8454144","794.8203125","794.8203125","794.8203125"
"8470528","769.0078125","769.0078125","769.0078125"
"8486912","753.8359375","753.8359375","753.8359375"
"8503296","748.9453125","748.9453125","748.9453125"
"8519680","751.4140625","751.4140625","751.4140625"
"8536064","755.203125","755.203125","755.203125"
"8552448","760.5859375","760.5859375","760.5859375"
"8568832","773.09375","773.09375","773.09375"
"8585216","787.890625","787.890625","787.890625"
"8601600","798.3125","798.3125","798.3125"
"8617984","791.1484375","791.1484375","791.1484375"
"8634368","778.46875","778.46875","778.46875"
"8650752","764.4296875","764.4296875","764.4296875"
"8667136","755.3984375","755.3984375","755.3984375"
"8683520","734.8984375","734.8984375","734.8984375"
"8699904","734.1171875","734.1171875","734.1171875"
"8716288","730.2890625","730.2890625","730.2890625"
"8732672","733.9453125","733.9453125","733.9453125"
"8749056","726.6875","726.6875","726.6875"
"8765440","737.015625","737.015625","737.015625"
"8781824","738.703125","738.703125","738.703125"
"8798208","748.8515625","748.8515625","748.8515625"
"8814592","734.828125","734.828125","734.828125"
"8830976","749.8359375","749.8359375","749.8359375"
"8847360","750.75","750.75","750.75"
"8863744","752.1796875","752.1796875","752.1796875"
"8880128","753.140625","753.140625","753.140625"
"8896512","753.7265625","753.7265625","753.7265625"
"8912896","770.2890625","770.2890625","770.2890625"
"8929280","757.1015625","757.1015625","757.1015625"
"8945664","764.140625","764.140625","764.140625"
"8962048","759","759","759"
