"Step","TrajLen","StarGunner-v5__ppo - charts/traj_len__MIN","StarGunner-v5__ppo - charts/traj_len__MAX"
"8683520","1717.875","1717.875","1717.875"
"8699904","1762.9375","1762.9375","1762.9375"
"8716288","1745.0703125","1745.0703125","1745.0703125"
"8732672","1733.078125","1733.078125","1733.078125"
"8749056","1741.9375","1741.9375","1741.9375"
"8765440","1698.390625","1698.390625","1698.390625"
"8781824","1725.3359375","1725.3359375","1725.3359375"
"8798208","1722.8984375","1722.8984375","1722.8984375"
"8814592","1684.328125","1684.328125","1684.328125"
"8830976","1693.6875","1693.6875","1693.6875"
"8847360","1689.421875","1689.421875","1689.421875"
"8863744","1646.8828125","1646.8828125","1646.8828125"
"8880128","1672.8359375","1672.8359375","1672.8359375"
"8896512","1677.3125","1677.3125","1677.3125"
"8912896","1668.0078125","1668.0078125","1668.0078125"
"8929280","1666.7109375","1666.7109375","1666.7109375"
"8945664","1681.90625","1681.90625","1681.90625"
"8962048","1704.171875","1704.171875","1704.171875"
"8978432","1700.8125","1700.8125","1700.8125"
"8994816","1706.09375","1706.09375","1706.09375"
"9011200","1721.25","1721.25","1721.25"
"9027584","1718.1328125","1718.1328125","1718.1328125"
"9043968","1737.453125","1737.453125","1737.453125"
"9060352","1695.5859375","1695.5859375","1695.5859375"
"9076736","1740","1740","1740"
"9093120","1710.25","1710.25","1710.25"
"9109504","1704.5703125","1704.5703125","1704.5703125"
"9125888","1687.5","1687.5","1687.5"
"9142272","1700.53125","1700.53125","1700.53125"
"9158656","1693.734375","1693.734375","1693.734375"
"9175040","1692.75","1692.75","1692.75"
"9191424","1710.046875","1710.046875","1710.046875"
"9207808","1707.9453125","1707.9453125","1707.9453125"
"9224192","1685.25","1685.25","1685.25"
"9240576","1672.3515625","1672.3515625","1672.3515625"
"9256960","1663.2265625","1663.2265625","1663.2265625"
"9273344","1681.2890625","1681.2890625","1681.2890625"
"9289728","1698.4140625","1698.4140625","1698.4140625"
"9306112","1687.71875","1687.71875","1687.71875"
"9322496","1694.2421875","1694.2421875","1694.2421875"
"9338880","1687.7734375","1687.7734375","1687.7734375"
"9355264","1728.2421875","1728.2421875","1728.2421875"
"9371648","1734","1734","1734"
"9388032","1734.8984375","1734.8984375","1734.8984375"
"9404416","1711.1171875","1711.1171875","1711.1171875"
