"Step","TrajLen","Alien-v5__bootstrapRLE - charts/traj_len__MIN","Alien-v5__bootstrapRLE - charts/traj_len__MAX"
"9732096","858.34375","858.34375","858.34375"
"9748480","859.5234375","859.5234375","859.5234375"
"9764864","857.28125","857.28125","857.28125"
"9781248","853.3046875","853.3046875","853.3046875"
"9797632","854.296875","854.296875","854.296875"
"9814016","858.0078125","858.0078125","858.0078125"
"9830400","846.2734375","846.2734375","846.2734375"
"9846784","847.109375","847.109375","847.109375"
"9863168","840.5390625","840.5390625","840.5390625"
"9879552","843.046875","843.046875","843.046875"
"9895936","832.8984375","832.8984375","832.8984375"
"9912320","836.703125","836.703125","836.703125"
"9928704","830.765625","830.765625","830.765625"
"9945088","838.109375","838.109375","838.109375"
"9961472","822.8125","822.8125","822.8125"
"9977856","828.6640625","828.6640625","828.6640625"
"9994240","845.8515625","845.8515625","845.8515625"
"10010624","840.921875","840.921875","840.921875"
"10027008","838.375","838.375","838.375"
